BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
252200000017112,252200000017112,Bosweg,Sportweg,6581KR,6581EW,2,50.0,,,,,Malden,Malden,651741.3753221657,6763982.770487507
252200000020821,252200000020821,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,1,1.0,,,,,Overasselt,Overasselt,644319.1127861561,6756921.0527099585
252200000020822,252200000020822,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,2,2.0,,,,,Overasselt,Overasselt,644273.042028168,6756937.465118324
252200000020823,252200000020823,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,3,3.0,,,,,Overasselt,Overasselt,644316.7042306694,6756911.1578729
252200000020824,252200000020824,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,4,4.0,,,,,Overasselt,Overasselt,644270.2361190428,6756925.672932845
252200000020825,252200000020825,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,5,5.0,,,,,Overasselt,Overasselt,644312.0322978342,6756892.54916225
252200000020826,252200000020826,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,6,6.0,,,,,Overasselt,Overasselt,644264.116487843,6756899.753812529
252200000020827,252200000020827,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,7,7.0,,,,,Overasselt,Overasselt,644309.4248897722,6756882.262623947
252200000020828,252200000020828,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,8,8.0,,,,,Overasselt,Overasselt,644261.3498552666,6756888.355911019
252200000020829,252200000020829,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,9,9.0,,,,,Overasselt,Overasselt,644308.3709895685,6756863.601655594
252200000020830,252200000020830,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,10,10.0,,,,,Overasselt,Overasselt,644252.1125084009,6756863.438609466
252200000020831,252200000020831,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,11,11.0,,,,,Overasselt,Overasselt,644305.9516975862,6756854.094925652
252200000020832,252200000020832,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,12,12.0,,,,,Overasselt,Overasselt,644249.2299357356,6756851.769807561
252200000020833,252200000020833,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,13,13.0,,,,,Overasselt,Overasselt,644301.5527887063,6756835.277908128
252200000020834,252200000020834,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,14,14.0,,,,,Overasselt,Overasselt,644243.0741770914,6756826.0030646
252200000020835,252200000020835,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,15,15.0,,,,,Overasselt,Overasselt,644299.0218288864,6756825.400011934
252200000020836,252200000020836,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,16,16.0,,,,,Overasselt,Overasselt,644240.1564070779,6756814.37977151
252200000020837,252200000020837,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,17,17.0,,,,,Overasselt,Overasselt,644294.4678175548,6756807.10768518
252200000020838,252200000020838,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,18,18.0,,,,,Overasselt,Overasselt,644233.9990845302,6756788.611531947
252200000020839,252200000020839,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,19,19.0,,,,,Overasselt,Overasselt,644292.1706141473,6756797.805648084
252200000020840,252200000020840,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,20,20.0,,,,,Overasselt,Overasselt,644231.3857440327,6756777.513612849
252200000020841,252200000020841,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,21,21.0,,,,,Overasselt,Overasselt,644284.6398945749,6756779.471619926
252200000020842,252200000020842,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,22,22.0,,,,,Overasselt,Overasselt,644230.6272957486,6756722.740393069
252200000020843,252200000020843,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,23,23.0,,,,,Overasselt,Overasselt,644282.2680814207,6756769.499146249
252200000020844,252200000020844,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,24,24.0,,,,,Overasselt,Overasselt,644230.981808749,6756711.534051205
252200000020845,252200000020845,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,25,25.0,,,,,Overasselt,Overasselt,644277.2524748934,6756728.508049308
252200000020846,252200000020846,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,26,26.0,,,,,Overasselt,Overasselt,644231.8639646763,6756685.11786757
252200000020847,252200000020847,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,27,27.0,,,,,Overasselt,Overasselt,644277.6910962585,6756718.242071682
252200000020848,252200000020848,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,28,28.0,,,,,Overasselt,Overasselt,644232.7421148642,6756664.731524299
252200000020849,252200000020849,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,29,29.0,,,,,Overasselt,Overasselt,644278.4642917486,6756699.610184853
252200000020850,252200000020850,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,30,30.0,,,,,Overasselt,Overasselt,644233.5484280257,6756645.064991461
252200000020851,252200000020851,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,31,31.0,,,,,Overasselt,Overasselt,644278.9332427322,6756689.289113157
252200000020852,252200000020852,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,32,32.0,,,,,Overasselt,Overasselt,644233.9872511089,6756634.826601521
252200000020853,252200000020853,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,33,33.0,,,,,Overasselt,Overasselt,644279.4454519933,6756670.404934524
252200000020854,252200000020854,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,34,34.0,,,,,Overasselt,Overasselt,644234.9874233211,6756615.81700363
252200000020855,252200000020855,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,35,35.0,,,,,Overasselt,Overasselt,644279.9218669018,6756659.975549624
252200000020856,252200000020856,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,36,36.0,,,,,Overasselt,Overasselt,644235.3124508358,6756605.7037514625
252200000020857,252200000020857,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,37,37.0,,,,,Overasselt,Overasselt,644280.8445425209,6756640.966314948
252200000020858,252200000020858,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BM,6611BM,38,38.0,,,,,Overasselt,Overasselt,644236.4687666172,6756580.771992531
252200000020859,252200000020859,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,39,39.0,,,,,Overasselt,Overasselt,644281.1669744165,6756630.390712237
252200000020860,252200000020860,Koningin Wilhelminastr,Koningin Wilhelminastraat,6611BL,6611BL,41,41.0,,,,,Overasselt,Overasselt,644287.9483675493,6756604.805442867
252200000265113,252200000265113,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,3,3.0,,,,,Heumen,Heumen,650435.3200748134,6758342.022772519
252200000265112,252200000265112,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,1,1.0,,,,,Heumen,Heumen,650435.9170514062,6758333.294296783
252200000265114,252200000265114,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,5,5.0,,,,,Heumen,Heumen,650435.4030595467,6758350.911907748
252200000265115,252200000265115,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,7,7.0,,,,,Heumen,Heumen,650435.0417931685,6758359.680960376
252200000265117,252200000265117,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,11,11.0,,,,,Heumen,Heumen,650434.0993589712,6758377.12831255
252200000265116,252200000265116,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,9,9.0,,,,,Heumen,Heumen,650434.457892555,6758368.179783221
252200000265264,252200000265264,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,13,13.0,,,,,Heumen,Heumen,650433.2915306197,6758417.657734651
252200000265265,252200000265265,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,15,15.0,,,,,Heumen,Heumen,650424.2105468848,6758416.683204228
252200000265266,252200000265266,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,17,17.0,,,,,Heumen,Heumen,650415.5496277515,6758415.054413418
252200000265267,252200000265267,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,19,19.0,,,,,Heumen,Heumen,650406.4431860701,6758413.876293534
252200000265268,252200000265268,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,21,21.0,,,,,Heumen,Heumen,650397.7901208269,6758414.278264327
252200000265269,252200000265269,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,23,23.0,,,,,Heumen,Heumen,650389.3927210713,6758413.525769318
252200000265270,252200000265270,Johan van Groesbeekstr,Johan van Groesbeekstraat,6582EC,6582EC,25,25.0,,,,,Heumen,Heumen,650374.8499996128,6758410.064720179
