BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
79200000374276,Stadsweg,9853TD,57,,,Munnekezijl,Niet gevonden
1891200001650055,Dr. Albert Plesmanloane,9269PH,9,,,Feanwalden,Niet gevonden
79200000378915,Stadsweg,9853TD,3,,,Munnekezijl,Niet gevonden
79200000374270,Stadsweg,9853TD,51,,,Munnekezijl,Niet gevonden
79200000374274,Stadsweg,9853TD,55,,,Munnekezijl,Niet gevonden
79200000374272,Stadsweg,9853TD,53,,,Munnekezijl,Niet gevonden
79200000375932,It Heideloantsje,9299HN,34,,,Zwagerbosch,Niet gevonden
79200000375936,It Heideloantsje,9299HN,36,,,Zwagerbosch,Niet gevonden
79200000376436,Ds Zylstrawei,9299HA,9,,,Zwagerbosch,Niet gevonden
79200000376438,Ds Zylstrawei,9299HA,13,,,Zwagerbosch,Niet gevonden
79200000376434,Ds Zylstrawei,9299HA,7,,,Zwagerbosch,Niet gevonden
79200000376440,Ds Zylstrawei,9299HA,15,,,Zwagerbosch,Niet gevonden
79200000378340,It Heideloantsje,9299HN,38,,,Zwagerbosch,Niet gevonden
79200000376442,Ds Zylstrawei,9299HA,17,,,Zwagerbosch,Niet gevonden
1891200001650055,Dr. Albert Plesmanloane,9269PH,9,,,Feanwalden,Niet gevonden
79200000375934,It Heideloantsje,9299HN,34,A,,Zwagerbosch,Niet gevonden
79200000375938,It Heideloantsje,9299HN,40,,,Zwagerbosch,Niet gevonden
58200000249424,Havelandoweg,9101PR,4,,,Dokkum,058200000250794
79200000378310,Ds Zylstrawei,9299HA,11,,,Zwagerbosch,Niet gevonden
79200000376444,Ds Zylstrawei,9299HA,19,,,Zwagerbosch,Niet gevonden
79200000375930,It Heideloantsje,9299HN,22,A,,Zwagerbosch,Niet gevonden
1891200001650055,Dr. Albert Plesmanloane,9269PH,9,,,Feanwalden,Niet gevonden
