gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0415,Landsmeer,0,0,5483,100.0,12-6-2019 14:28,1
0590,Papendrecht,0,0,15980,100.0,12-6-2019 14:36,1
0523,Hardinxveld-Giessendam,0,0,8417,100.0,12-6-2019 14:24,1
0888,Beek,0,0,8581,100.0,12-6-2019 14:10,1
1652,Gemert-Bakel,0,0,14568,100.0,12-6-2019 14:20,1
1978,Molenlanden,0,0,19759,100.0,12-6-2019 14:32,1
0534,Hillegom,0,0,11570,100.0,12-6-2019 14:25,1
0986,Voerendaal,0,0,6353,100.0,12-6-2019 14:50,1
0579,Oegstgeest,0,0,12061,100.0,12-6-2019 14:34,1
0893,Bergen (L.),0,0,6516,100.0,12-6-2019 14:11,1
0096,Vlieland,0,0,1156,100.0,12-6-2019 14:50,1
0530,Hellevoetsluis,0,0,20047,100.0,12-6-2019 14:25,1
0873,Woensdrecht,0,0,11794,100.0,12-6-2019 14:52,1
0765,Pekela,0,0,6290,100.0,12-6-2019 14:36,1
0148,Dalfsen,0,0,13652,100.0,12-6-2019 14:14,1
0339,Renswoude,0,0,2504,100.0,12-6-2019 14:37,1
0889,Beesel,0,0,7278,100.0,12-6-2019 14:11,1
0899,Brunssum,0,0,16044,100.0,12-6-2019 14:13,1
0542,Krimpen aan den IJssel,0,0,14633,100.0,12-6-2019 14:28,1
0400,Den Helder,0,0,34709,100.0,12-6-2019 14:16,1
0279,Scherpenzeel,0,0,4602,100.0,12-6-2019 14:41,1
0088,Schiermonnikoog,0,0,1354,100.0,12-6-2019 14:41,1
0313,Bunschoten,0,0,9901,100.0,12-6-2019 14:13,1
0622,Vlaardingen,0,1,42090,99.9976,12-6-2019 14:50,2
0718,Vlissingen,1,0,27456,99.9964,12-6-2019 14:50,3
0074,Heerenveen,0,1,27746,99.9964,12-6-2019 14:24,3
1895,Oldambt,1,0,21091,99.9953,12-6-2019 14:35,4
1674,Roosendaal,2,0,41575,99.9952,12-6-2019 14:38,5
0303,Dronten,0,1,20607,99.9951,12-6-2019 14:17,6
0882,Landgraaf,1,0,19557,99.9949,12-6-2019 14:28,7
1711,Echt-Susteren,0,1,17408,99.9943,12-6-2019 14:18,8
