gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0893,Bergen (L.),0,0,6516,100.0,20-6-2019 1:7,1
0590,Papendrecht,0,0,15980,100.0,20-6-2019 1:44,1
0400,Den Helder,0,0,34713,100.0,20-6-2019 1:16,1
0415,Landsmeer,0,0,5484,100.0,20-6-2019 1:34,1
0534,Hillegom,0,0,11570,100.0,20-6-2019 1:30,1
0889,Beesel,0,0,7280,100.0,20-6-2019 1:6,1
0530,Hellevoetsluis,0,0,20047,100.0,20-6-2019 1:29,1
0888,Beek,0,0,8585,100.0,20-6-2019 1:6,1
0074,Heerenveen,0,0,27748,100.0,20-6-2019 1:28,1
0523,Hardinxveld-Giessendam,0,0,8420,100.0,20-6-2019 1:27,1
1652,Gemert-Bakel,0,0,14572,100.0,20-6-2019 1:22,1
0986,Voerendaal,0,0,6354,100.0,20-6-2019 1:56,1
0579,Oegstgeest,0,0,12061,100.0,20-6-2019 1:41,1
0375,Beverwijk,0,0,23731,100.0,20-6-2019 1:9,1
0899,Brunssum,0,0,16046,100.0,20-6-2019 1:12,1
0622,Vlaardingen,0,0,42092,100.0,20-6-2019 1:56,1
0765,Pekela,0,0,6290,100.0,20-6-2019 1:44,1
0279,Scherpenzeel,0,0,4602,100.0,20-6-2019 1:48,1
0148,Dalfsen,0,0,13663,100.0,20-6-2019 1:14,1
0303,Dronten,0,0,20633,100.0,20-6-2019 1:19,1
1711,Echt-Susteren,0,0,17424,100.0,20-6-2019 1:19,1
0873,Woensdrecht,0,0,11795,100.0,20-6-2019 1:59,1
0088,Schiermonnikoog,0,0,1354,100.0,20-6-2019 1:49,1
0613,Albrandswaard,0,0,11348,100.0,20-6-2019 0:52,1
0313,Bunschoten,0,0,9902,100.0,20-6-2019 1:12,1
0542,Krimpen aan den IJssel,0,0,14633,100.0,20-6-2019 1:33,1
0339,Renswoude,0,0,2507,100.0,20-6-2019 1:45,1
0718,Vlissingen,1,0,27555,99.9964,20-6-2019 1:56,2
1959,Altena,1,0,25635,99.9961,20-6-2019 0:56,3
0034,Almere,4,0,94349,99.9958,20-6-2019 0:54,4
1895,Oldambt,1,0,21093,99.9953,20-6-2019 1:42,5
0267,Nijkerk,0,1,20863,99.9952,20-6-2019 1:39,6
1674,Roosendaal,2,0,41652,99.9952,20-6-2019 1:46,6
0882,Landgraaf,1,0,19561,99.9949,20-6-2019 1:34,7
1901,Bodegraven-Reeuwijk,1,0,17178,99.9942,20-6-2019 1:9,8
0294,Winterswijk,1,0,16192,99.9938,20-6-2019 1:59,9
1700,Twenterand,1,0,15181,99.9934,20-6-2019 1:53,10
0439,Purmerend,3,0,42651,99.993,20-6-2019 1:44,11
0547,Leiderdorp,1,0,14064,99.9929,20-6-2019 1:35,12
0416,Langedijk,1,0,13911,99.9928,20-6-2019 1:34,13
0928,Kerkrade,0,2,26944,99.9926,20-6-2019 1:33,14
0505,Dordrecht,5,0,65613,99.9924,20-6-2019 1:18,15
0988,Weert,2,0,25936,99.9923,20-6-2019 1:57,16
1681,Borger-Odoorn,1,0,12856,99.9922,20-6-2019 1:10,17
0784,Gilze en Rijen,1,0,12764,99.9922,20-6-2019 1:23,17
1903,Eijsden-Margraten,0,1,12884,99.9922,20-6-2019 1:20,17
1641,Maasgouw,1,0,12506,99.992,20-6-2019 1:37,18
0489,Barendrecht,1,1,22002,99.9909,20-6-2019 1:6,19
0050,Zeewolde,0,1,11006,99.9909,20-6-2019 2:0,19
0183,Tubbergen,1,0,10159,99.9902,20-6-2019 1:53,20
0994,Valkenburg aan de Geul,1,0,9889,99.9899,20-6-2019 1:54,21
0361,Alkmaar,1,6,66846,99.9895,20-6-2019 0:53,22
0513,Gouda,1,3,37601,99.9894,20-6-2019 1:24,23
0262,Lochem,2,0,18119,99.989,20-6-2019 1:36,24
0501,Brielle,1,0,9124,99.989,20-6-2019 1:11,24
0880,Wormerland,1,0,8547,99.9883,20-6-2019 1:59,25
1911,Hollands Kroon,3,0,25133,99.9881,20-6-2019 1:31,26
0228,Ede,2,5,56069,99.9875,20-6-2019 1:20,27
0437,Ouder-Amstel,0,1,7823,99.9872,20-6-2019 1:43,28
1729,Gulpen-Wittem,0,1,7781,99.9871,20-6-2019 1:25,29
0537,Katwijk,3,1,30234,99.9868,20-6-2019 1:33,30
1658,Heeze-Leende,1,0,7471,99.9866,20-6-2019 1:29,31
1892,Zuidplas,2,1,22378,99.9866,20-6-2019 2:1,31
0114,Emmen,8,0,58036,99.9862,20-6-2019 1:21,32
0293,Westervoort,1,0,7230,99.9862,20-6-2019 1:58,32
0981,Vaals,1,0,7025,99.9858,20-6-2019 1:54,33
0845,Sint-Michielsgestel,1,1,13679,99.9854,20-6-2019 1:49,34
0193,Zwolle,0,10,66894,99.9851,20-6-2019 2:1,35
1883,Sittard-Geleen,4,4,53505,99.985,20-6-2019 1:49,36
0766,Dongen,2,0,12815,99.9844,20-6-2019 1:18,37
0971,Stein,2,0,12840,99.9844,20-6-2019 1:50,37
1696,Wijdemeren,2,0,12686,99.9842,20-6-2019 1:58,38
0995,Lelystad,4,2,37519,99.984,20-6-2019 1:36,39
1949,Waadhoeke,2,2,24913,99.9839,20-6-2019 1:56,40
1940,De Fryske Marren,5,0,30945,99.9838,20-6-2019 1:14,41
1954,Beekdaelen,2,1,18352,99.9837,20-6-2019 1:6,42
0119,Meppel,2,1,18235,99.9835,20-6-2019 1:38,43
0642,Zwijndrecht,4,0,23732,99.9831,20-6-2019 2:1,44
1702,Sint Anthonis,1,0,5767,99.9827,20-6-2019 1:49,45
0861,Veldhoven,2,2,22712,99.9824,20-6-2019 1:55,46
0352,Wijk bij Duurstede,2,0,11127,99.982,20-6-2019 1:59,47
0213,Brummen,2,0,11022,99.9819,20-6-2019 1:12,48
1669,Roerdalen,2,0,10937,99.9817,20-6-2019 1:46,49
0356,Nieuwegein,5,1,32315,99.9814,20-6-2019 1:39,50
0457,Weesp,2,0,10759,99.9814,20-6-2019 1:57,50
0815,Mill en Sint Hubert,0,1,5356,99.9813,20-6-2019 1:38,51
0402,Hilversum,9,1,51034,99.9804,20-6-2019 1:31,52
0479,Zaanstad,15,1,81081,99.9803,20-6-2019 1:59,53
0216,Culemborg,1,2,14485,99.9793,20-6-2019 1:13,54
0010,Delfzijl,3,0,14521,99.9793,20-6-2019 1:15,54
1926,Pijnacker-Nootdorp,4,1,23907,99.9791,20-6-2019 1:44,55
0668,West Maas en Waal,2,0,9566,99.9791,20-6-2019 1:57,55
0370,Beemster,1,0,4791,99.9791,20-6-2019 1:6,55
1783,Westland,11,1,55259,99.9783,20-6-2019 1:58,56
0772,Eindhoven,29,0,131066,99.9779,20-6-2019 1:21,57
0090,Smallingerland,3,4,30998,99.9774,20-6-2019 1:50,58
0197,Aalten,2,1,13200,99.9773,20-6-2019 0:51,59
0946,Nederweert,2,0,8785,99.9772,20-6-2019 1:39,60
0907,Gennep,2,0,8436,99.9763,20-6-2019 1:22,61
0858,Valkenswaard,2,2,16666,99.976,20-6-2019 1:54,62
1904,Stichtse Vecht,8,0,32075,99.9751,20-6-2019 1:50,63
0373,Bergen (NH.),5,0,19653,99.9746,20-6-2019 1:7,64
0757,Boxtel,0,4,15671,99.9745,20-6-2019 1:10,65
0312,Bunnik,2,0,7535,99.9735,20-6-2019 1:12,66
0310,De Bilt,2,4,22315,99.9731,20-6-2019 1:14,67
0327,Leusden,2,2,14741,99.9729,20-6-2019 1:36,68
0047,Veendam,4,0,14617,99.9726,20-6-2019 1:54,69
1659,Laarbeek,3,0,10886,99.9724,20-6-2019 1:34,70
0855,Tilburg,5,28,119442,99.9724,20-6-2019 1:52,70
1701,Westerveld,3,0,10809,99.9722,20-6-2019 1:58,71
0502,Capelle aan den IJssel,7,3,35953,99.9722,20-6-2019 1:12,71
0484,Alphen aan den Rijn,20,0,71409,99.972,20-6-2019 0:55,72
0983,Venlo,14,2,56799,99.9718,20-6-2019 1:55,73
1774,Dinkelland,1,3,13716,99.9708,20-6-2019 1:17,74
0164,Hengelo,14,0,47318,99.9704,20-6-2019 1:30,75
0274,Renkum,5,0,16430,99.9696,20-6-2019 1:45,76
0957,Roermond,10,0,32785,99.9695,20-6-2019 1:46,77
0512,Gorinchem,6,0,19353,99.969,20-6-2019 1:23,78
0826,Oosterhout,9,0,28943,99.9689,20-6-2019 1:42,79
0938,Meerssen,2,1,9503,99.9684,20-6-2019 1:37,80
0599,Rotterdam,104,8,352515,99.9682,20-6-2019 1:48,81
1950,Westerwolde,4,0,12519,99.968,20-6-2019 1:58,82
0441,Schagen,9,0,27828,99.9677,20-6-2019 1:48,83
1891,Dantumadiel,3,0,8849,99.9661,20-6-2019 1:14,84
0037,Stadskanaal,4,2,17495,99.9657,20-6-2019 1:50,85
0794,Helmond,17,0,48587,99.965,20-6-2019 1:29,86
0965,Simpelveld,0,2,5644,99.9646,20-6-2019 1:49,87
0230,Elburg,4,0,10990,99.9636,20-6-2019 1:21,88
0153,Enschede,32,0,86691,99.9631,20-6-2019 1:22,89
1894,Peel en Maas,6,2,21588,99.9629,20-6-2019 1:44,90
0777,Etten-Leur,4,4,21474,99.9627,20-6-2019 1:22,91
0200,Apeldoorn,30,2,85596,99.9626,20-6-2019 1:3,92
0762,Deurne,6,0,15906,99.9623,20-6-2019 1:16,93
0353,IJsselstein,1,5,15514,99.9613,20-6-2019 1:32,94
0345,Veenendaal,11,2,32653,99.9602,20-6-2019 1:55,95
0748,Bergen op Zoom,14,1,37556,99.9601,20-6-2019 1:8,96
0556,Maassluis,7,0,17540,99.9601,20-6-2019 1:37,96
1978,Molenlanden,8,0,19761,99.9595,20-6-2019 1:39,97
0610,Sliedrecht,1,4,12166,99.9589,20-6-2019 1:49,98
1916,Leidschendam-Voorburg,14,3,41089,99.9586,20-6-2019 1:35,99
0431,Oostzaan,2,0,4726,99.9577,20-6-2019 1:42,100
0606,Schiedam,2,16,42081,99.9572,20-6-2019 1:49,101
1721,Bernheze,6,0,13971,99.9571,20-6-2019 1:8,102
0847,Someren,1,3,9254,99.9568,20-6-2019 1:50,103
0569,Nieuwkoop,3,3,13806,99.9565,20-6-2019 1:39,104
1924,Goeree-Overflakkee,11,2,29854,99.9565,20-6-2019 1:23,104
0072,Harlingen,4,0,9114,99.9561,20-6-2019 1:27,105
0147,Borne,4,1,11295,99.9557,20-6-2019 1:10,106
0866,Waalre,4,0,8766,99.9544,20-6-2019 1:56,107
0944,Mook en Middelaar,2,0,4036,99.9504,20-6-2019 1:39,108
1942,Gooise Meren,10,6,31490,99.9492,20-6-2019 1:23,109
0935,Maastricht,31,6,70864,99.9478,20-6-2019 1:37,110
1963,Hoeksche Waard,14,9,43730,99.9474,20-6-2019 1:31,111
0060,Ameland,2,0,3669,99.9455,20-6-2019 0:56,112
0232,Epe,8,2,18044,99.9446,20-6-2019 1:22,113
1724,Bergeijk,4,1,9028,99.9446,20-6-2019 1:7,113
0166,Kampen,15,0,26583,99.9436,20-6-2019 1:33,114
0285,Voorst,7,0,12346,99.9433,20-6-2019 1:56,115
1948,Meierijstad,10,13,40414,99.9431,20-6-2019 1:37,116
0301,Zutphen,15,0,26163,99.9427,20-6-2019 2:1,117
0362,Amstelveen,2,27,50439,99.9425,20-6-2019 0:57,118
0788,Haaren,3,1,6844,99.9416,20-6-2019 1:25,119
0779,Geertruidenberg,7,0,11968,99.9415,20-6-2019 1:22,120
0856,Uden,13,0,21943,99.9408,20-6-2019 1:53,121
0158,Haaksbergen,7,0,11775,99.9406,20-6-2019 1:25,122
1876,Bronckhorst,3,8,18430,99.9403,20-6-2019 1:12,123
0917,Heerlen,5,28,54410,99.9393,20-6-2019 1:28,124
0171,Noordoostpolder,3,12,24585,99.939,20-6-2019 1:41,125
0770,Eersel,5,1,9395,99.9361,20-6-2019 1:20,126
1655,Halderberge,3,7,15586,99.9358,20-6-2019 1:26,127
0614,Westvoorne,2,3,7754,99.9355,20-6-2019 1:58,128
0531,Hendrik-Ido-Ambacht,9,0,13488,99.9333,20-6-2019 1:29,129
0321,Houten,5,10,22477,99.9333,20-6-2019 1:32,129
0865,Vught,9,0,13204,99.9318,20-6-2019 1:56,130
0687,Middelburg,14,6,29103,99.9313,20-6-2019 1:38,131
1931,Krimpenerwaard,7,12,27418,99.9307,20-6-2019 1:34,132
0448,Texel,8,0,11159,99.9283,20-6-2019 1:52,133
0173,Oldenzaal,1,11,16692,99.9281,20-6-2019 1:42,134
1509,Oude IJsselstreek,8,7,20845,99.928,20-6-2019 1:43,135
0355,Zeist,15,9,32078,99.9252,20-6-2019 2:0,136
1719,Drimmelen,4,6,13143,99.9239,20-6-2019 1:18,137
0202,Arnhem,6,59,85128,99.9236,20-6-2019 1:4,138
1771,Geldrop-Mierlo,2,14,20797,99.9231,20-6-2019 1:22,139
0388,Enkhuizen,8,0,10405,99.9231,20-6-2019 1:21,139
0798,Hilvarenbeek,6,0,7652,99.9216,20-6-2019 1:30,140
0344,Utrecht,32,104,172524,99.9212,20-6-2019 1:54,141
0221,Doesburg,0,5,6152,99.9187,20-6-2019 1:17,142
0755,Boekel,4,0,4875,99.9179,20-6-2019 1:10,143
0093,Terschelling,3,0,3643,99.9177,20-6-2019 1:52,144
0096,Vlieland,1,0,1156,99.9135,20-6-2019 1:56,145
0629,Wassenaar,1,11,13765,99.9128,20-6-2019 1:57,146
0632,Woerden,2,21,26074,99.9118,20-6-2019 1:59,147
0638,Zoeterwoude,0,4,4486,99.9108,20-6-2019 2:0,148
0141,Almelo,32,3,39120,99.9105,20-6-2019 0:53,149
1705,Lingewaard,11,9,22070,99.9094,20-6-2019 1:36,150
0109,Coevorden,4,13,18389,99.9076,20-6-2019 1:13,151
1735,Hof van Twente,16,2,18752,99.904,20-6-2019 1:31,152
0384,Diemen,17,0,17574,99.9033,20-6-2019 1:17,153
1581,Utrechtse Heuvelrug,23,1,23853,99.8994,20-6-2019 1:54,154
0281,Tiel,12,9,20740,99.8987,20-6-2019 1:52,155
0363,Amsterdam,390,141,493858,99.8925,20-6-2019 1:3,156
0168,Losser,12,0,10938,99.8903,20-6-2019 1:36,157
0308,Baarn,15,0,12896,99.8837,20-6-2019 1:5,158
0203,Barneveld,23,10,27850,99.8815,20-6-2019 1:6,159
0299,Zevenaar,26,2,23022,99.8784,20-6-2019 2:0,160
0118,Hoogeveen,25,11,28818,99.8751,20-6-2019 1:31,161
0243,Harderwijk,23,7,23370,99.8716,20-6-2019 1:27,162
0342,Soest,32,0,23984,99.8666,20-6-2019 1:50,163
0744,Baarle-Nassau,2,4,4494,99.8665,20-6-2019 1:5,164
0717,Veere,22,0,16202,99.8642,20-6-2019 1:55,165
0840,Rucphen,16,0,11740,99.8637,20-6-2019 1:48,166
0180,Staphorst,4,6,7339,99.8637,20-6-2019 1:50,166
