gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
518,'s-Gravenhage,296,0,30560,2019-06-06 16:11:04.378305+02:00,99.0314
796,'s-Hertogenbosch,10,307,84273,2019-06-06 16:11:22.388110+02:00,99.6238
1680,Aa en Hunze,21,147,12783,2019-06-06 16:11:28.581249+02:00,98.6858
358,Aalsmeer,2,86,15834,2019-06-06 16:11:33.695700+02:00,99.4442
197,Aalten,2,4,13200,2019-06-06 16:11:43.981831+02:00,99.9545
59,Achtkarspelen,217,18,13192,2019-06-06 16:11:51.206566+02:00,98.2186
482,Alblasserdam,88,0,9694,2019-06-06 16:11:57.667621+02:00,99.0922
613,Albrandswaard,1,0,11348,2019-06-06 16:12:05.709797+02:00,99.9912
361,Alkmaar,1,7,66843,2019-06-06 16:12:28.138754+02:00,99.988
141,Almelo,33,5,39079,2019-06-06 16:12:44.678925+02:00,99.9028
34,Almere,4,14,94335,2019-06-06 16:13:06.124147+02:00,99.9809
484,Alphen aan den Rijn,22,0,71389,2019-06-06 16:13:31.997979+02:00,99.9692
1723,Alphen-Chaam,19,1,5137,2019-06-06 16:13:38.730497+02:00,99.6107
1959,Altena,1,4,25617,2019-06-06 16:13:58.198456+02:00,99.9805
60,Ameland,2,0,3665,2019-06-06 16:14:03.635030+02:00,99.9454
307,Amersfoort,57,59,78974,2019-06-06 16:14:20.628230+02:00,99.8531
362,Amstelveen,2,307,50423,2019-06-06 16:14:41.235770+02:00,99.3872
363,Amsterdam,390,148,493798,2019-06-06 16:18:06.210064+02:00,99.891
200,Apeldoorn,31,2,85551,2019-06-06 16:18:20.173111+02:00,99.9614
3,Appingedam,44,0,7314,2019-06-06 16:18:27.603356+02:00,99.3984
202,Arnhem,4,58,85057,2019-06-06 16:18:51.314062+02:00,99.9271
106,Assen,435,1,35982,2019-06-06 16:19:11.292878+02:00,98.7883
743,Asten,212,4,7988,2019-06-06 16:19:16.646715+02:00,97.2959
744,Baarle-Nassau,3,4,4489,2019-06-06 16:19:21.637592+02:00,99.8441
308,Baarn,15,0,12893,2019-06-06 16:19:28.496833+02:00,99.8837
489,Barendrecht,1,1,22001,2019-06-06 16:19:40.939659+02:00,99.9909
203,Barneveld,23,10,27832,2019-06-06 16:19:53.722887+02:00,99.8814
888,Beek,0,0,8579,2019-06-06 16:19:58.678550+02:00,100.0
1954,Beekdaelen,3,1,18336,2019-06-06 16:20:08.200067+02:00,99.9782
370,Beemster,1,0,4710,2019-06-06 16:20:12.179185+02:00,99.9788
889,Beesel,0,0,7278,2019-06-06 16:20:17.094147+02:00,100.0
1945,Berg en Dal,555,200,17214,2019-06-06 16:20:25.202214+02:00,95.614
1724,Bergeijk,4,1,9011,2019-06-06 16:20:29.883521+02:00,99.9445
893,Bergen (L.),0,0,6516,2019-06-06 16:20:34.282017+02:00,100.0
373,Bergen (NH.),5,0,19617,2019-06-06 16:20:41.035567+02:00,99.9745
748,Bergen op Zoom,14,1,37556,2019-06-06 16:20:58.922692+02:00,99.9601
1859,Berkelland,101,2,22963,2019-06-06 16:21:06.487427+02:00,99.5515
1721,Bernheze,5,0,13961,2019-06-06 16:21:12.685525+02:00,99.9642
753,Best,280,0,14491,2019-06-06 16:21:19.622110+02:00,98.0678
209,Beuningen,524,0,12229,2019-06-06 16:21:25.115472+02:00,95.7151
375,Beverwijk,0,2,23730,2019-06-06 16:21:35.945474+02:00,99.9916
1728,Bladel,141,1,10541,2019-06-06 16:21:40.986733+02:00,98.6529
376,Blaricum,13,8,5902,2019-06-06 16:21:47.533438+02:00,99.6442
377,Bloemendaal,90,0,10862,2019-06-06 16:21:52.897439+02:00,99.1714
1901,Bodegraven-Reeuwijk,1,0,17176,2019-06-06 16:21:59.449505+02:00,99.9942
755,Boekel,4,0,4875,2019-06-06 16:22:03.790052+02:00,99.9179
1681,Borger-Odoorn,1,0,12856,2019-06-06 16:22:09.468406+02:00,99.9922
147,Borne,4,1,11293,2019-06-06 16:22:15.641672+02:00,99.9557
654,Borsele,277,0,11495,2019-06-06 16:22:23.794442+02:00,97.5903
756,Boxmeer,27,0,14357,2019-06-06 16:22:30.596431+02:00,99.8119
757,Boxtel,0,5,15671,2019-06-06 16:22:39.822116+02:00,99.9681
758,Breda,1576,7,99244,2019-06-06 16:23:12.490989+02:00,98.4049
501,Brielle,27,0,9124,2019-06-06 16:23:17.730805+02:00,99.7041
1876,Bronckhorst,3,8,18428,2019-06-06 16:23:25.695501+02:00,99.9403
213,Brummen,2,0,11022,2019-06-06 16:23:30.603401+02:00,99.9819
899,Brunssum,0,0,16044,2019-06-06 16:23:36.264394+02:00,100.0
312,Bunnik,2,0,7535,2019-06-06 16:23:41.222032+02:00,99.9735
313,Bunschoten,0,0,9901,2019-06-06 16:23:46.672382+02:00,100.0
214,Buren,393,3,11756,2019-06-06 16:23:52.309138+02:00,96.6315
502,Capelle aan den IJssel,7,3,35952,2019-06-06 16:24:05.530189+02:00,99.9722
383,Castricum,450,6,18373,2019-06-06 16:24:11.307150+02:00,97.5181
109,Coevorden,4,13,18389,2019-06-06 16:24:18.031763+02:00,99.9076
1706,Cranendonck,3,15,10536,2019-06-06 16:24:22.522065+02:00,99.8292
1684,Cuijk,49,2,12995,2019-06-06 16:24:27.621895+02:00,99.6075
216,Culemborg,1,2,14484,2019-06-06 16:24:33.912822+02:00,99.9793
148,Dalfsen,0,0,13651,2019-06-06 16:24:40.643127+02:00,100.0
1891,Dantumadiel,2,1,8849,2019-06-06 16:24:44.948846+02:00,99.9661
310,De Bilt,2,4,22314,2019-06-06 16:24:56.362725+02:00,99.9731
